attempt,value,type
1,0.04,ml
2,0.051,ml
3,0.056,ml
4,0.06,ml
5,0.067,ml
6,0.067,ml
7,0.07,ml
8,0.084,ml
9,0.093,ml
10,0.131,ml
11,0.133,ml
12,0.133,ml
13,0.15,ml
14,0.16,ml
15,0.166,ml
16,0.171,ml
17,0.175,ml
18,0.177,ml
19,0.177,ml
20,0.18,ml
21,0.18,ml
22,0.18,ml
23,0.192,ml
24,0.196,ml
25,0.205,ml
26,0.211,ml
27,0.222,ml
28,0.23,ml
29,0.241,ml
30,0.258,ml
31,0.26,ml
32,0.266,ml
33,0.268,ml
34,0.268,ml
35,0.272,ml
36,0.284,ml
37,0.285,ml
38,0.286,ml
39,0.319,ml
40,0.501,dl
41,0.591,dl
42,0.629,dl
43,0.642,dl
44,0.642,dl
45,0.676,dl
46,0.683,dl
47,0.684,dl
48,0.685,dl
49,0.702,dl
50,0.703,dl
51,0.707,dl
52,0.718,dl
53,0.731,dl
54,0.749,dl
